sep=;

"storeNumber";"productionArea";"date";"schedule";"itemNumber";"v1_forecast";
"474";"390";"2021-10-17";"2:00PM";"104978599";"4";
"474";"390";"2021-10-17";"2:00PM";"105348927";"50";
"474";"390";"2021-10-17";"2:00PM";"108812617";"6";
"474";"390";"2021-10-17";"2:00PM";"110280816";"8";
"474";"390";"2021-10-17";"2:00PM";"110281069";"10";
"8";"392";"2021-10-18";"7:00AM";"104341803";"8";
"8";"392";"2021-10-18";"7:00AM";"104343471";"7";
"8";"392";"2021-10-18";"7:00AM";"105901681";"12";
"8";"392";"2021-10-18";"7:00AM";"108799563";"2";
"8";"392";"2021-10-18";"7:00AM";"108799643";"2";
"8";"392";"2021-10-18";"7:00AM";"108799731";"2";
"8";"392";"2021-10-18";"7:00AM";"108799791";"2";
"8";"392";"2021-10-18";"7:00AM";"108800552";"20";
"8";"392";"2021-10-18";"7:00AM";"108800641";"4";
"8";"392";"2021-10-18";"7:00AM";"108800704";"4";
"8";"392";"2021-10-18";"7:00AM";"108801037";"6";
"8";"392";"2021-10-18";"7:00AM";"108801125";"3";
"8";"392";"2021-10-18";"7:00AM";"108810689";"19";
"8";"392";"2021-10-18";"7:00AM";"108810785";"4";
"8";"392";"2021-10-18";"7:00AM";"108810857";"3";
"8";"392";"2021-10-18";"7:00AM";"108810929";"2";
"8";"392";"2021-10-18";"7:00AM";"108810953";"2";
"8";"392";"2021-10-18";"7:00AM";"108810996";"8";
"8";"392";"2021-10-18";"7:00AM";"108811041";"2";
"8";"392";"2021-10-18";"7:00AM";"108831640";"4";
"8";"392";"2021-10-18";"7:00AM";"108831691";"2";
"8";"392";"2021-10-18";"7:00AM";"108831762";"6";
"8";"392";"2021-10-18";"7:00AM";"108831834";"3";
"8";"392";"2021-10-18";"7:00AM";"108831914";"4";
"8";"392";"2021-10-18";"7:00AM";"108836424";"3";
"8";"392";"2021-10-18";"7:00AM";"108836512";"2";
"8";"392";"2021-10-18";"7:00AM";"108836539";"3";
"8";"392";"2021-10-18";"7:00AM";"108836601";"2";
"8";"392";"2021-10-18";"7:00AM";"108836731";"12";
"8";"392";"2021-10-18";"7:00AM";"108837179";"0";
"8";"392";"2021-10-18";"7:00AM";"108838649";"3";
"8";"392";"2021-10-18";"7:00AM";"108865719";"4";
"8";"392";"2021-10-18";"7:00AM";"109383359";"8";
"8";"392";"2021-10-18";"7:00AM";"109383404";"2";
"8";"392";"2021-10-18";"7:00AM";"109383447";"8";
"8";"392";"2021-10-18";"7:00AM";"109383498";"2";
"8";"392";"2021-10-18";"7:00AM";"109781091";"0";
"8";"392";"2021-10-18";"7:00AM";"109838093";"2";
"8";"392";"2021-10-18";"7:00AM";"109838245";"2";
"8";"392";"2021-10-18";"7:00AM";"109838384";"2";
"8";"392";"2021-10-18";"7:00AM";"110189465";"4";
"8";"392";"2021-10-18";"7:00AM";"110189490";"4";
"8";"392";"2021-10-18";"7:00AM";"110189529";"4";
"8";"392";"2021-10-18";"7:00AM";"110227311";"2";
"8";"392";"2021-10-18";"7:00AM";"110227441";"2";
"8";"392";"2021-10-18";"7:00AM";"110237666";"4";
"8";"392";"2021-10-18";"7:00AM";"110243388";"4";
"8";"392";"2021-10-18";"7:00AM";"110243425";"2";
"8";"392";"2021-10-18";"7:00AM";"110243530";"4";
"8";"392";"2021-10-18";"7:00AM";"110243628";"2";
"8";"392";"2021-10-18";"7:00AM";"110249131";"4";
"8";"392";"2021-10-18";"7:00AM";"110586524";"6";
"8";"392";"2021-10-18";"7:00AM";"110586663";"6";
"8";"392";"2021-10-18";"7:00AM";"110737994";"4";
"8";"392";"2021-10-18";"7:00AM";"110738057";"2";
"8";"392";"2021-10-18";"7:00AM";"110747754";"4";
"8";"392";"2021-10-18";"7:00AM";"110747800";"2";
"8";"392";"2021-10-18";"7:00AM";"110847886";"4";
"8";"392";"2021-10-18";"7:00AM";"110941215";"2";
"8";"392";"2021-10-18";"7:00AM";"111790631";"1";
"8";"392";"2021-10-18";"7:00AM";"111790658";"1";
"8";"392";"2021-10-18";"7:00AM";"111790691";"1";
"8";"392";"2021-10-18";"7:00AM";"111922278";"0";
"304";"392";"2021-10-18";"7:00AM";"104341803";"4";
"304";"392";"2021-10-18";"7:00AM";"104343471";"4";
"304";"392";"2021-10-18";"7:00AM";"105901681";"2";
"304";"392";"2021-10-18";"7:00AM";"108799563";"4";
"304";"392";"2021-10-18";"7:00AM";"108799643";"4";
"304";"392";"2021-10-18";"7:00AM";"108799731";"2";
"304";"392";"2021-10-18";"7:00AM";"108799791";"2";
"304";"392";"2021-10-18";"7:00AM";"108800552";"8";
