Store,Production Area,Plan ID,Production Date,SKU Number,Description,Forecast Qty,Modified Qty,Modified By,Sales,Throwaways,Production Totals,
8,390,829777,10/12/2021,111473441,MIN: MORRISONS 3 GARLIC & HERB CHICKEN THIGH FILLE,0,,,,,0,
8,390,829777,10/12/2021,111473468,MIN: MORRISONS 5 GARLIC & HERB CHICKEN THIGH FILLE,0,,,,,0,
8,392,829972,10/12/2021,104341803,(B) M Chunky Steak Pie,34,,,,,34,
8,392,829972,10/12/2021,104343471,(B) M Steak Slice,11,,,,,11,
8,392,829972,10/12/2021,108800552,(B) MORRISONS CHEESE & ONION ROLL,28,,,,,28,
8,392,829972,10/12/2021,108800641,MIN: MORRISONS CHEESE & ONION ROLL 4PK,6,,,,,6,
8,392,829972,10/12/2021,108800704,MIN: MORRISONS CHEESE & ONION ROLL HOT,4,,,,,4,
8,392,829972,10/12/2021,108801037,(B) MORRISONS CHEESE & ONION SLICE,6,,,,,6,
8,392,829972,10/12/2021,108801125,MIN: MORRISONS CHEESE & ONION SLICE 2PK,3,,,,,3,
8,392,829972,10/12/2021,108810689,(B) MORRISONS PORK SAUSAGE ROLL,30,,,,,30,
8,392,829972,10/12/2021,108810785,MIN: MORRISONS PORK SAUSAGE ROLLS 4PK,6,,,,,6,
8,392,829972,10/12/2021,108810857,MIN: MORRISONS HOT PORK SAUSAGE ROLL,6,,,,,5,
8,392,829972,10/12/2021,108810929,(B) MORRISONS SNACK PORK SAUSAGE ROLL,2,,,,,2,
8,392,829972,10/12/2021,108810953,MIN: MORRISONS SNACK PORK SAUSAGE ROLL,2,,,,,2,
8,392,829972,10/12/2021,108810996,(B) MORRISONS LINCOLNSHIRE SAUSAGE ROLL,8,,,,,8,
8,392,829972,10/12/2021,108811041,MIN: MORRISONS LINCOLNSHIRE SAUSAGE ROLLS 4PK,2,,,,,2,
8,392,829972,10/12/2021,108831640,(B) MORRISONS MEAT & POTATO PIE,6,,,,,6,
8,392,829972,10/12/2021,108831691,MIN:MORRISONS POTATO & MEAT  PIES 2PK,3,,,,,3,
8,392,829972,10/12/2021,108831762,(B) MORRISONS CREAMY CHICKEN PIE,8,,,,,8,
8,392,829972,10/12/2021,108831834,MIN: MORRISONS CREAMY CHICKEN PIES 2PK,4,,,,,1,
8,392,829972,10/12/2021,108831914,MIN: MORRISONS CHUNKY STEAK PIES 2PK,17,,,,1,17,
8,392,829972,10/12/2021,108836512,MIN: MORRISONS STEAK SLICES 2PK,4,,,,,4,
8,392,829972,10/12/2021,108836539,MIN: MORRISONS STEAK SLICE HOT,3,,,,,3,
8,392,829972,10/12/2021,108836601,MIN: MORRISONS JUMBO BEEF PASTIES 2PK,4,,,,,4,
8,392,829972,10/12/2021,108837179,(B) MORRISONS BACON & CHEESE TURNOVER,0,,,,,0,
8,392,829972,10/12/2021,108865719,(B) MORRISONS JUMBO MINCED BEEF PASTY 280G,8,,,,,8,
8,392,829972,10/12/2021,109383447,(B) MORRISONS HOG ROAST SAUSAGE ROLL,8,,,,,8,
8,392,829972,10/12/2021,109383498,MIN: MORRISONS HOG ROAST SAUSAGE ROLL 4PK,2,,,,,2,
8,392,829972,10/12/2021,109781091,MIN: MORRISONS CHEESE & BACON TURNOVER (HOT),0,,,,,0,
8,392,829972,10/12/2021,109838093,MIN: MORRISONS THE BEST 2 STEAK & ALE PASTIES,2,,,,,2,
8,392,829972,10/12/2021,109838245,MIN: MORRISONS THE BEST 2 CORNISH PASTIES,2,,,,,2,
8,392,829972,10/12/2021,109838384,MIN: MORRISONS THE BEST 2 CHEESE & ONION PASTIES,2,,,,,2,
8,392,829972,10/12/2021,110189465,(B) MORRISONS THE BEST CORNISH PASTY 287G,4,,,,,4,
8,392,829972,10/12/2021,110189490,(B) M BEST STEAK &ALE PASTY 291G,4,,,,,4,
8,392,829972,10/12/2021,110189529,"(B) MORRISONS THE BEST CHEESE, ONION & CHIVES PASTY 291G",4,,,,,4,
8,392,829972,10/12/2021,110227311,MIN: MORRISONS 2 CHICKEN & GRAVY PIES,2,,,,,1,
8,392,829972,10/12/2021,110227441,MIN: MORRISONS 2 MINCE & ONION PIES,3,,,,,3,
