Store,Production Area,Plan ID,Production Date,SKU Number,Description,Forecast Qty,Modified Qty,Modified By,Sales,Throwaways,Production Totals,
171,265,845532,10/17/2021,105713197,MIN: M Vanilla Creme Crowns 2 pack,0,,,2,,,
171,265,845532,10/17/2021,106779251,MIN: MORRISONS MINI DANISH PASTRIES 5 PACK,2,,,5,,,
171,265,845532,10/17/2021,107733028,MIN: MORRISONS PORTUGUESE TARTS 2 PACK,0,,,8,,,
171,265,845532,10/17/2021,111026473,MIN: MORRISONS TOFFEE PECAN SWIRL,0,,,2,,,
171,390,848655,10/17/2021,103264421,MIN: Sausage Sandwich,4,,,,,,
171,390,848655,10/17/2021,103267824,MIN: Bacon Sandwich,3,,,,,,
171,390,848655,10/17/2021,104284116,Texan BBQ Chicken Wings,25,,,,,,
171,390,848655,10/17/2021,104284132,MIN: 'M' 5 Texan Chicken Wings,5,,,,,,
171,390,848655,10/17/2021,104284271,MIN: 'M' Plain Chicken Leg,4,,,,,,
171,390,848655,10/17/2021,104284280,MIN: 'M' 4 Plain Chicken Legs,4,,,,,,
171,390,848655,10/17/2021,104288230,MIN: 'M' Bacon Rib,1,,,,,,
171,390,848655,10/17/2021,104305589,M' STOUT CHICKEN THIGH,30,,,,,,
171,390,848655,10/17/2021,104305600,MIN: 'M' Stout Chicken Thigh,5,,,,,,
171,390,848655,10/17/2021,104306047,MIN: 'M' Plain Chicken Drumstick,5,,,,,,
171,390,848655,10/17/2021,104306063,MIN: 'M' 5 Plain Chicken Drumsticks,5,,,,,,
171,390,848655,10/17/2021,104317301,MIN: 'M' Extra Tasty British Chicken,2,,,,,,
171,390,848655,10/17/2021,104317379,MIN: 'M' Roast British Chicken,2,,,,,,
171,390,848655,10/17/2021,104473179,MIN: 'M' 4 Jumbo Sausages,4,,,,,,
171,390,848655,10/17/2021,104978599,JUMBO PORK SAUSAGE,28,,,,,,
171,390,848655,10/17/2021,105018426,MIN: 'M' Extra Tasty British Chicken VAT FREE,3,,,,,,
171,390,848655,10/17/2021,105018451,MIN: 'M' Roast British Chicken VAT FREE,3,,,,,,
171,390,848655,10/17/2021,105033651,MIN: Jumbo Pork Sausage (New),4,,,,,,
171,390,848655,10/17/2021,105190120,MIN: 'M' Plain Chicken Leg 2's,4,,,,,,
171,390,848655,10/17/2021,105348994,GAMMON SHANK,1,,,,,,
171,390,848655,10/17/2021,105349022,MIN: Gammon Shank,1,,,,,,
171,390,848655,10/17/2021,105453541,BACON RIB,1,,,,,,
171,390,848655,10/17/2021,105810149,PLAIN CHICKEN LEG,28,,,,,,
171,390,848655,10/17/2021,105810261,PLAIN CHICKEN DRUMSTICK,30,,,,,,
171,390,848655,10/17/2021,106795201,LARGE PLAIN CHICKEN BREAST,6,,,,,,
171,390,848655,10/17/2021,106795825,MIN: MORRISONS LARGE PLAIN CHICKEN BREAST X 2,2,,,,,,
171,390,848655,10/17/2021,106796035,MIN: MORRISONS LARGE PLAIN CHICKEN BREAST,2,,,,,,
